id_aeroport;length_ft;le_identificateur;le_seuil_decale_ft;he_identificateur;he_seuil_decale_ft
BAL;10000;2;;20;
BAM;7299;3;;21;
BAM;7300;12;;30;
BAQ;9842;5;;23;
BAS;5413;5;;23;
BAT;5906;8;;26;
BAU;4925;14;;32;
BAX;9350;6;1148;24;
BAY;5905;10;;28;
BAZ;3937;9;;27;
BBA;8205;9;;27;
BBB;4000;14;;32;
BBC;5107;13;;31;
BBD;4604;17;583;35;
BBE;4921;6;;24;
BBH;2953;09L;;27R;
BBH;3937;9;;27;164
BBI;4524;5;200;23;200
BBI;7359;14;;32;
BBJ;10026;5;984;23;820
BBK;6562;8;;26;
BBL;5906;3;;21;
BBM;5250;7;;25;
BBO;13582;5;;23;
BBP;6027;12;;30;
BBS;4380;7;788;25;843
BBT;5446;17;;35;
BBU;10499;7;787;25;2609
BBW;4203;14;;32;
BBX;3700;6;170;24;
BCA;6070;16;;34;
BCB;4539;12;;30;
BCE;7395;3;;21;
BCH;8233;14;;32;
BCI;3104;14;;32;
BCI;5591;1;;19;
BCK;4265;4;;22;
BCL;3281;16;;34;
BCM;8203;16;;34;
BCN;8333;2;131;20;
BCN;8727;07R;;25L;
BCN;11654;07L;295;25R;
BCR;5249;18;;36;
BCS;3200;2;;20;
BCS;5000;02W;;20W;
BCT;6276;5;696;23;378
BDA;9713;12;;30;
BDB;3701;7;;25;
BDB;5030;14;329;32;
BDC;5085;9;;27;
BDD;2788;12;;30;
BDE;5499;12;;30;
BDE;6000;13W;;31W;
BDF;2614;8;;26;
BDG;5781;17;;35;
BDH;8203;8;;26;
BDJ;8202;10;;28;
BDK;4921;3;;21;
BDL;5145;1;;19;
BDL;6847;15;;33;
BDL;9510;6;;24;
BDM;9865;18;;36;
BDN;8968;6;;24;
BDO;7361;11;;29;
BDP;3965;10;;28;
BDQ;8100;4;700;22;
BDR;4677;6;;24;319
BDR;4761;11;;29;364
BDS;6132;5;;23;230
BDS;8307;13;;31;
BDT;10499;7;;25;
BDU;8015;10;1880;28;
BDW;4002;18;;36;
BDX;4400;10;;28;
BDY;3600;16;;34;
BEB;4003;17;;35;
BEB;6024;6;394;24;
BEC;8000;18;;36;
BED;5106;5;;23;
BED;7001;11;;29;
BEE;3280;8;;26;
BEF;6625;5;;23;645
BEG;11155;12;;30;1312
BEH;3662;13;;31;
BEH;5109;9;;27;571
BEJ;4625;1;;19;620
BEK;9000;11;;29;
BEL;9186;6;;24;
BEN;11731;15R;;33L;
BEN;11732;15L;;33R;
BEP;3630;12;;30;
BEQ;9012;9;;27;
BES;10171;07R;;25L;984
BET;4000;01R;;19L;
BET;6400;01L;;19R;
BEU;4921;14;;32;
BEV;3384;14;;32;
BEW;7874;12;;30;
BEX;5981;1;;19;
BEY;10663;17;;35;2788
BEY;11138;16;590;34;
BEY;12467;3;1886;21;3265
BFC;3198;12;;30;
BFD;4500;5;;23;
BFD;6309;14;;32;
BFE;4121;11;1280;29;709
BFF;8001;5;;23;
BFF;8279;12;;30;
BFG;3500;1;82;19;65
BFH;4560;18;;36;
BFI;3710;13L;240;31R;365
BFI;10000;13R;;31L;880
BFK;11000;14;;32;
BFL;3700;12R;;30L;
BFL;10857;12L;;30R;3428
BFM;7800;18;;36;
BFM;9618;14;;32;
BFN;7202;12;;30;
BFN;8396;2;;20;
BFO;5785;14;597;32;
BFP;4501;10;;28;
BFR;3089;6;;24;
BFR;4501;13;;31;
BFS;6401;17;525;35;502
BFS;9121;7;;25;
BFT;3434;7;;25;
BFV;6890;4;;22;
BFW;4868;10;;28;
BFX;8203;15;;33;
BGA;7381;16;;34;
BGC;5600;2;210;20;180
BGD;3898;3;;21;
BGD;6300;17;;35;
BGE;5003;14;;32;
BGE;5502;9;;27;
BGF;8530;17;;35;
BGI;11000;9;;27;
BGM;5002;10;;28;
BGM;7100;16;401;34;
BGO;9810;17;886;35;889
BGR;11440;15;;33;
BGT;4575;5;;23;
BGV;3281;13;;31;
BGW;10830;15R;;33L;
BGW;13124;15L;;33R;
BGX;3770;14;;32;
BGX;4921;6;;24;
BGY;2552;12;210;30;328
BGY;9636;10;312;28;427
BGZ;3117;7;492;25;
BHA;7227;15;;33;
BHB;3364;17;684;35;
BHB;5200;4;;22;
BHD;6001;4;303;22;
BHE;3878;10;;28;98
BHE;4675;06L;;24R;
BHE;4675;06R;;24L;
BHH;10007;18;;36;
BHI;4915;16R;;34L;
BHI;6660;6;;24;
BHI;8579;16L;492;34R;
BHJ;8205;5;;23;
BHK;9843;1;;19;
BHM;7100;18;1045;36;
BHM;10000;6;;24;1770
BHN;5480;17;;35;
BHO;3420;6;427;24;427
BHO;6700;12;;30;
BHQ;3281;14;;32;
BHQ;8251;5;;23;
BHS;4314;8;;26;
BHS;5594;17;;35;
BHU;6300;7;855;25;
BHV;9345;8;;26;
BHW;8970;7;;25;
BHX;8527;15;1069;33;987
BIA;8266;16;;34;
BID;2502;10;;28;
BIE;4401;13;;31;
BIE;5602;17;;35;
BIF;13554;3;;21;
BIG;4679;7;;25;
BIG;6115;10;;28;
BIG;9000;1;;19;
BIH;5566;7;;25;
BIH;5600;16;;34;
BIH;7498;12;;30;
BIK;11715;11;;29;
BIL;3801;10R;;28L;
BIL;5501;7;;25;
BIL;10518;10L;;28R;
BIM;5430;9;;27;
BIO;6562;10;;28;
BIO;8530;12;;30;1509
BIP;3280;13;;31;
BIQ;7382;9;656;27;
BIR;4937;9;;27;
BIS;6600;3;;21;
BIS;8794;13;;31;
BIU;3084;5;;23;
BIV;5906;14;;32;
BIW;3608;11;;29;
BIX;7630;3;1599;21;1000
BIY;8202;8;;26;
BJA;7874;8;;26;
BJB;10582;7;1957;25;
BJC;3601;3;;21;
BJC;7004;12R;;30L;
BJC;9000;12L;;30R;
BJF;3281;3;;21;
BJI;5699;7;700;25;
BJI;6598;13;;31;
BJJ;5191;10;;28;218
BJK;4265;4;;22;
BJL;11811;14;;32;
BJM;11811;17;;35;
BJO;4921;1;;19;
BJP;3997;16;;34;
BJR;9842;4;;22;
BJV;9842;10;;28;
BJX;11483;13;;31;
BJY;3232;12;;30;
BJY;8181;12L;;30R;
BJZ;9350;13;;31;
BKB;8960;5;;23;
BKC;3200;11;;29;
BKD;4998;17;;35;
BKE;3999;8;140;26;190
BKE;4359;17;;35;395
BKE;5095;13;;31;
BKG;7140;14;;32;
BKH;6006;16;;34;
BKI;9800;2;1600;20;200
BKK;12139;01L;;19R;
BKK;13123;01R;;19L;
BKL;5197;06R;267;24L;
BKL;6198;06L;265;24R;
BKO;8879;6;;24;
BKP;4796;15;;33;
BKQ;5259;12;;30;
BKQ;5538;6;;24;
BKS;7345;13;;31;
BKT;4032;1;;19;
BKT;4632;4;;22;
BKW;5000;10;;28;
BKW;6750;1;;19;
BKX;3599;17;;35;
BKX;5231;12;;30;
BKY;6562;17;;35;
BKZ;4535;13;;31;
BLA;8200;2;;20;980
BLA;9840;15;;33;
BLB;8500;18;;36;
BLD;3850;15;;33;
BLD;4800;09R;;27L;
BLE;7579;14;;32;
BLF;4742;5;;23;
BLH;5800;17;;35;
BLH;6543;8;;26;
BLI;6701;16;;34;
BLJ;9843;5;;23;
BLK;3533;13;478;31;
BLK;6132;10;;28;
BLL;10172;9;492;27;492
BLM;3707;3;;21;
BLM;7300;14;;32;
BLN;3422;08L;;26R;
BLN;3422;08R;;26L;
BLO;3182;4;;22;
BLQ;9186;12;1007;30;1188
BLR;13123;9;;27;
BLS;3500;5;;23;
BLT;5023;18;;36;
BLU;3300;15;;33;
BLV;8001;14R;;32L;200
BLV;10000;14L;;32R;
BLX;2664;5;;23;
BLZ;4501;15;;33;
BLZ;7628;10;;28;
BMA;5472;12;;30;
BMC;7501;16;;34;
BME;8064;10;295;28;689
BMG;3798;6;305;24;222
BMG;6500;17;;35;
BMI;6525;11;;29;
BMI;8000;2;;20;
BMK;2657;5;;23;
BMK;2854;12;558;30;
BMK;3281;13;;31;
BML;5200;18;;36;
BMM;5726;13;;31;
BMO;5502;15;;33;
BMP;2709;14;;32;
BMS;5709;12;;30;
BMT;4000;13;332;31;67
BMU;5405;13;;31;
BMV;9843;9;;27;
BMW;7372;8;;26;
BMX;4200;7;;25;
BNA;7703;02L;;20R;
BNA;8000;02R;;20L;
BNA;8001;02C;455;20C;
BNA;11030;13;801;31;741
BND;11341;03L;;21R;
BND;12008;03R;;21L;
BNE;5577;14;197;32;197
BNE;11680;1;197;19;
BNG;5200;8;;26;230
BNI;7870;5;;23;
BNJ;2625;11;;29;
BNK;6234;6;;24;
BNL;5119;17;;35;
BNL;5255;5;;23;
BNN;3937;4;;22;
BNO;4600;3;600;21;
BNO;5100;12;;30;
BNP;6001;7;;25;
BNS;3940;3;;21;1480
BNS;6560;13;985;31;
BNU;4590;18;555;36;555
BNW;3298;2;;20;
BNW;4807;15;140;33;
BNX;8213;17;;35;
BOB;4921;11;;29;
BOC;4921;8;;26;
BOD;7923;11;;29;
BOD;10171;5;;23;
BOG;12467;13L;;31R;
BOG;12467;13R;;31L;
BOH;7451;8;1383;26;
BOI;9763;10R;;28L;
BOI;10000;10L;;28R;
BOJ;10499;4;;22;
BOK;2900;12;;30;
BOM;9596;14;1238;32;853
BOM;11302;9;465;27;1581
BON;9449;10;;28;
