id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
LSV;medium_airport;Nellis Air Force Base;36.2361984253;-115.033996582;1870;NA;US;Las Vegas;KLSV;America/Los_Angeles
LSW;small_airport;Malikus Saleh Airport;5.226679801940918;96.95030212402344;90;AS;ID;Lhok Seumawe-Sumatra Island;WITM;Asia/Jakarta
LSX;medium_airport;Lhok Sukon Airport;5.069509983062744;97.25920104980469;28;AS;ID;Lhok Sukon-Sumatra Island;WITL;Asia/Jakarta
LSY;medium_airport;Lismore Airport;-28.8302993774;153.259994507;35;OC;AU;Lismore;YLIS;Australia/Sydney
LSZ;small_airport;Lošinj Island Airport;44.5657997131;14.3930997849;151;EU;HR;Lošinj;LDLO;Europe/Zagreb
LTA;medium_airport;Tzaneen Airport;-23.8243999481;30.329299926799997;1914;AF;ZA;Tzaneen;FATZ;Africa/Johannesburg
LTC;small_airport;Lai Airport;9.3979;16.3125;1171;AF;TD;Lai;FTTH;Africa/Ndjamena
LTD;medium_airport;Ghadames East Airport;30.15169906616211;9.715310096740723;1122;AF;LY;Ghadames;HLTD;Africa/Tripoli
LTG;small_airport;Langtang Airport;28.200000762939453;85.58300018310547;12000;AS;NP;Langtang;VNLT;Asia/Kathmandu
LTI;medium_airport;Altai Airport;46.376399993896484;96.22109985351562;7260;AS;MN;Altai;ZMAT;Asia/Hovd
LTK;large_airport;Bassel Al-Assad International Airport;35.401100158691406;35.948699951171875;157;AS;SY;Latakia;OSLK;Asia/Damascus
LTL;small_airport;Lastourville Airport;-0.8266670107841492;12.748600006103516;1585;AF;GA;Lastourville;FOOR;Africa/Libreville
LTM;medium_airport;Lethem Airport;3.372760057449341;-59.789398193359375;351;SA;GY;Lethem;SYLT;America/Guyana
LTN;large_airport;London Luton Airport;51.874698638916016;-0.36833301186561584;526;EU;GB;London;EGGW;Europe/London
LTO;medium_airport;Loreto International Airport;25.989200592041016;-111.3479995727539;34;NA;MX;Loreto;MMLT;America/Mazatlan
LTP;small_airport;Lyndhurst Airport;-19.1958007812;144.371002197;;OC;AU;Lyndhurst;YLHS;Australia/Brisbane
LTQ;medium_airport;Le Touquet-Côte d'Opale Airport;50.517398834228516;1.6205899715423584;36;EU;FR;Le Touquet-Paris-Plage;LFAT;Europe/Paris
LTR;small_airport;Letterkenny Airport;54.95130157470703;-7.672830104827881;20;EU;IE;Letterkenny;EILT;Europe/Dublin
LTS;large_airport;Altus Air Force Base;34.667098999;-99.2667007446;1382;NA;US;Altus;KLTS;America/Chicago
LTT;small_airport;La Môle Airport;43.20539855957031;6.48199987411499;59;EU;FR;La Môle;LFTZ;Europe/Paris
LTU;medium_airport;Murod Kond Airport;18.4115009308;76.46469879150001;2136;AS;IN;Latur;VALT;Asia/Kolkata
LTV;small_airport;Lotus Vale Airport;-17.048299789399998;141.37600708;;OC;AU;Lotus Vale;YLOV;Australia/Brisbane
LTW;small_airport;St. Mary's County Regional Airport;38.3153991699;-76.5501022339;142;NA;US;Leonardtown;2W6;America/New_York
LTX;large_airport;Cotopaxi International Airport;-0.9068329930310001;-78.6157989502;9205;SA;EC;Latacunga;SELT;America/Guayaquil
LUA;small_airport;Lukla Airport;27.686899185180664;86.72969818115234;9380;AS;NP;Lukla;VNLK;Asia/Kathmandu
LUB;small_airport;Lumid Pau Airport;2.3939299583399998;-59.4410018921;656;SA;GY;Lumid Pau;SYLP;America/Guyana
LUC;small_airport;Laucala Island Airport;-16.74810028076172;-179.66700744628906;10;OC;FJ;Laucala Island;NFNH;Pacific/Fiji
LUD;medium_airport;Luderitz Airport;-26.687400817871094;15.242899894714355;457;AF;NA;Luderitz;FYLZ;Africa/Windhoek
LUE;small_airport;Lučenec Airport;48.33940124511719;19.73579978942871;;EU;SK;Lučenec;LZLU;Europe/Bratislava
LUF;large_airport;Luke Air Force Base;33.534999847399995;-112.383003235;1085;NA;US;Glendale;KLUF;America/Phoenix
LUG;medium_airport;Lugano Airport;46.00429916379999;8.9105796814;915;EU;CH;Lugano;LSZA;Europe/Zurich
LUH;medium_airport;Ludhiana Airport;30.854700088500977;75.95259857177734;834;AS;IN;;VILD;Asia/Kolkata
LUI;small_airport;Carta Airport;15.033192;-86.692334;2625;NA;HN;La Unión;MHCR;America/Tegucigalpa
LUJ;small_airport;Lusikisiki Airport;-31.36669921875;29.58329963684082;1831;AF;ZA;Lusikisiki;FALK;Africa/Johannesburg
LUK;medium_airport;Cincinnati Municipal Airport Lunken Field;39.10329819;-84.41860199;483;NA;US;Cincinnati;KLUK;America/New_York
LUL;small_airport;Hesler Noble Field;31.672599792499998;-89.172203064;238;NA;US;Laurel;KLUL;America/Chicago
LUM;medium_airport;Mangshi Airport;24.4011;98.5317;2890;AS;CN;Luxi;ZPMS;Asia/Chongqing
LUN;large_airport;Kenneth Kaunda International Airport Lusaka;-15.3308000565;28.4526004791;3779;AF;ZM;Lusaka;FLKK;Africa/Lusaka
LUO;medium_airport;Luena Airport;-11.768099784851074;19.8976993560791;4360;AF;AO;Luena;FNUE;Africa/Luanda
LUP;small_airport;Kalaupapa Airport;21.21100044;-156.973999;24;NA;US;Kalaupapa;PHLU;Pacific/Honolulu
LUQ;medium_airport;Brigadier Mayor D Cesar Raul Ojeda Airport;-33.2732009888;-66.3563995361;2328;SA;AR;San Luis;SAOU;America/Argentina/San_Luis
LUR;medium_airport;Cape Lisburne LRRS Airport;68.87509918;-166.1100006;16;NA;US;Cape Lisburne;PALU;America/Nome
LUS;small_airport;Lusanga Airport;-4.800000190734863;18.716999053955078;1365;AF;CD;Lusanga;FZCE;Africa/Kinshasa
LUT;small_airport;New Laura Airport;-15.183300018310547;144.36700439453125;;OC;AU;;YLRS;Australia/Brisbane
LUU;small_airport;Laura Airport;-15.550000190734863;144.4499969482422;;OC;AU;;YLRA;Australia/Brisbane
LUV;medium_airport;Dumatumbun Airport;-5.661620140075684;132.7310028076172;10;AS;ID;Langgur-Seram Island;WAPL;Asia/Jayapura
LUW;medium_airport;Bubung Airport;-1.0389200448989868;122.77200317382812;56;AS;ID;Luwok-Celebes Island;WAMW;Asia/Makassar
LUX;large_airport;Luxembourg-Findel International Airport;49.6233333;6.2044444;1234;EU;LU;Luxembourg;ELLX;Europe/Luxembourg
LUZ;medium_airport;Lublin Airport;51.240278;22.713611;633;EU;PL;Lublin;EPLB;Europe/Warsaw
LVA;medium_airport;Laval-Entrammes Airport;48.03139877319336;-0.7429860234260559;330;EU;FR;Laval/Entrammes;LFOV;Europe/Paris
LVD;small_airport;Lime Village Airport;61.3591003418;-155.440002441;552;NA;US;Lime Village;2AK;America/Anchorage
LVI;medium_airport;Livingstone Airport;-17.821800231933594;25.82270050048828;3302;AF;ZM;Livingstone;FLLI;Africa/Lusaka
LVK;small_airport;Livermore Municipal Airport;37.6934013367;-121.819999695;400;NA;US;Livermore;KLVK;America/Los_Angeles
